display  D   display_settings.c:527  _al_score_display_settings       [   0.09912] Score is : 809
display  D   display_settings.c:212  debug_display_settings           [   0.09925] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09940] Score is : 817
display  D   display_settings.c:212  debug_display_settings           [   0.09953] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09966] Score is : 825
display  D   display_settings.c:212  debug_display_settings           [   0.09978] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.09993] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10006] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10020] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.10032] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10046] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.10057] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10069] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.10080] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10092] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.10109] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10124] Score is : 801
display  D   display_settings.c:212  debug_display_settings           [   0.10136] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10151] Score is : 809
display  D   display_settings.c:212  debug_display_settings           [   0.10164] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10179] Score is : 817
display  D   display_settings.c:212  debug_display_settings           [   0.10194] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10206] Score is : 825
display  D   display_settings.c:212  debug_display_settings           [   0.10219] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10233] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10245] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10258] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.10268] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10280] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.10291] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10302] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.10312] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10323] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.10337] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10351] Score is : 801
display  D   display_settings.c:212  debug_display_settings           [   0.10362] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10378] Score is : 809
display  D   display_settings.c:212  debug_display_settings           [   0.10392] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10405] Score is : 817
display  D   display_settings.c:212  debug_display_settings           [   0.10416] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10429] Score is : 825
display  D   display_settings.c:212  debug_display_settings           [   0.10441] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10457] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10471] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10486] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10500] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10515] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10535] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10551] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10565] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10580] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10594] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10610] Single Buffer requirement not met.
